City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-09-25 20:26:41,3.0707,172.7902,82.78,75,75,9.26
1,Sao Gabriel Da Cachoeira,BR,2021-09-25 20:22:55,-0.1303,-67.0892,87.6,62,40,5.75
2,Ushuaia,AR,2021-09-25 20:26:02,-54.8,-68.3,44.26,57,20,19.57
3,Pemba,MZ,2021-09-25 20:26:42,-12.974,40.5178,75.9,88,40,9.22
4,Atuona,PF,2021-09-25 20:26:42,-9.8,-139.0333,78.33,77,87,20.04
5,Peniche,PT,2021-09-25 20:26:42,39.3558,-9.3811,67.75,91,2,5.91
6,Zelenoborsk,RU,2021-09-25 20:26:43,61.4669,64.0333,32.54,82,25,7.31
7,Vardo,NO,2021-09-25 20:26:43,70.3705,31.1107,47.03,85,64,9.28
8,Mortka,RU,2021-09-25 20:26:43,59.3322,66.0214,31.59,87,16,6.24
9,Cape Town,ZA,2021-09-25 20:26:15,-33.9258,18.4232,62.28,83,75,6.91
10,Dongsheng,CN,2021-09-25 20:26:44,39.8161,109.9776,58.1,81,100,6.55
11,Bluff,NZ,2021-09-25 20:26:44,-46.6,168.3333,37.8,66,42,15.77
12,Krasnorechenskiy,RU,2021-09-25 20:26:45,44.6265,135.3532,50.65,70,100,1.99
13,Tukrah,LY,2021-09-25 20:26:45,32.5341,20.5791,73.29,65,0,12.1
14,Mataura,NZ,2021-09-25 20:26:45,-46.1927,168.8643,37.47,96,56,4.45
15,Saint-Philippe,RE,2021-09-25 20:26:46,-21.3585,55.7679,71.15,84,38,12.12
16,Ballina,AU,2021-09-25 20:26:46,-28.8667,153.5667,60.98,88,90,8.05
17,Ixtapa,MX,2021-09-25 20:26:46,20.7,-105.2,88.23,77,49,4.0
18,Souillac,MU,2021-09-25 20:26:47,-20.5167,57.5167,73.36,83,75,14.97
19,Monrovia,LR,2021-09-25 20:22:18,6.3005,-10.7969,78.57,83,100,8.34
20,Talnakh,RU,2021-09-25 20:26:47,69.4865,88.3972,31.17,70,54,1.72
21,Vilhena,BR,2021-09-25 20:26:48,-12.7406,-60.1458,92.68,26,84,3.47
22,Belle Fourche,US,2021-09-25 20:26:48,44.6714,-103.8522,90.09,8,74,1.54
23,Provideniya,RU,2021-09-25 20:26:48,64.3833,-173.3,31.08,89,100,4.21
24,Rassvet,RU,2021-09-25 20:26:49,46.8333,40.75,53.87,95,50,2.24
25,Sovetskiy,RU,2021-09-25 20:26:49,61.3614,63.5842,34.18,77,26,7.87
26,Vila,PT,2021-09-25 20:26:49,42.0304,-8.1588,55.33,98,37,4.59
27,Hobart,AU,2021-09-25 20:26:50,-42.8794,147.3294,39.06,87,20,1.99
28,Albany,US,2021-09-25 20:24:18,42.6001,-73.9662,74.68,59,87,5.39
29,Tadine,NC,2021-09-25 20:22:40,-21.55,167.8833,68.0,63,3,8.59
30,Lata,PT,2021-09-25 20:26:50,40.1629,-8.3327,65.07,95,1,2.24
31,Kennett,US,2021-09-25 20:22:26,36.2362,-90.0556,81.99,28,1,8.05
32,Montepuez,MZ,2021-09-25 20:22:49,-13.1256,38.9997,73.36,59,99,8.77
33,Khatanga,RU,2021-09-25 20:24:14,71.9667,102.5,29.88,89,97,10.27
34,Segamat,MY,2021-09-25 20:26:51,2.5148,102.8158,78.62,94,63,2.66
35,Rikitea,PF,2021-09-25 20:23:28,-23.1203,-134.9692,74.12,75,100,16.78
36,Flin Flon,CA,2021-09-25 20:26:36,54.7682,-101.865,60.64,48,75,4.61
37,Kapaa,US,2021-09-25 20:23:08,22.0752,-159.319,82.38,71,75,4.0
